Observation        Subject                Task                Valence        Recall 
1               Jim                        Free                Neg                 8 
2               Jim                        Free                Neu                 9 
3               Jim                        Free                Pos                 5 
4               Jim                        Cued                Neg                 7 
5               Jim                        Cued                Neu                 9 
6               Jim                        Cued                Pos                10 
7               Victor                Free                Neg                12 
8               Victor                Free                Neu                13 
9               Victor                Free                Pos                14 
10                Victor                Cued                Neg                16 
11                Victor                Cued                Neu                13 
12                Victor                Cued                Pos                14 
13                Faye                        Free                Neg                13 
14                Faye                        Free                Neu                13 
15                Faye                        Free                Pos                12 
16                Faye                        Cued                Neg                15 
17                Faye                        Cued                Neu                16 
18                Faye                        Cued                Pos                14 
19                Ron                        Free                Neg                12 
20                Ron                        Free                Neu                14 
21                Ron                        Free                Pos                15 
22                Ron                        Cued                Neg                17 
23                Ron                        Cued                Neu                18 
24                Ron                        Cued                Pos                20 
25                Jason                Free                Neg                 6 
26                Jason                Free                Neu                 7 
27                Jason                Free                Pos                 9 
28                Jason                Cued                Neg                 4 
29                Jason                Cued                Neu                 9 
30                Jason                Cued                Pos                10 
